Sr_No,Symptoms 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Disease,Remedy
1,fever,headache,intense pain,fatigue,dry cough,runny nose,None,sore throat,cough,None,sneezing,None,None,None,None,None,Cold,"Seek Medical attention if you have fever of or aboce 102 degree F or cold lasting for 10 days.   Rest more than usual and avoid execrise until symtoms are gone, Drink lots of clear fluid, avoid cigarettes and smokes, and alcohol. Avoid Caffeine and have well balanced diet."
2,eye irritation,itchy nose,stuffy nose,wattery eyes,itchy throat,runny nose,None,None,None,None,sneezing,None,None,None,None,None,Air borne Allergies,"The easiest and most effective way to treat allergies is to get rid of or avoid the cause. Where unavoidable, some lifestyle changes can reduce your allergy symptoms. For example, if you are allergic to dust mites, make an effort to keep your room clean and free of dust by frequent vacuuming, dusting, and washing of bedding. For pollen allergies, avoid being outside when pollen counts are high and keep the windows to your room shut."
3,None,gastrointestinal distress,lips Swelling,tongue swelling,face swelling,itchiness,difficulty breathing,fainting,None,None,None,None,None,None,None,rash,Food Allergies,"The easiest and most effective way to treat allergies is to get rid of or avoid the cause. Where unavoidable, some lifestyle changes can reduce your allergy symptoms. For example, if you are allergic to dust mites, make an effort to keep your room clean and free of dust by frequent vacuuming, dusting, and washing of bedding. For pollen allergies, avoid being outside when pollen counts are high and keep the windows to your room shut."
4,eyes redness,eyes burning sensation,itchy eyes,pus like discharge eyes,None,None,None,None,None,None,None,None,None,None,None,None,Conjunctivitis/Pink Eye,"These symptoms may last a few hours to several weeks: redness, itching, tearing, burning sensation, pus-like discharge and/or crusting of the eyelids. Because conjunctivitis causes inflammation of the small blood vessels in the conjunctiva to become more prominent, the whites of your eyes will appear pink or red. When you wake you are likely to feel that your eyelids are pasted shut, and your vision may not be as clear as usual."
5,stress,distress,None,sense of dread,restlessness,None,tiredness,dry mouth,stomach ache,None,irritability,None,concentration difficulty,None,None,None,Anxiety,"Meet with a therapist every week to learn ways to tackle your anxiety. Cognitive behavioural therapy (CBT) is one of the most effective treatments for GAD.Applied relaxation is an alternative type of psychological treatment which includes relaxing your muscles in situations that make you anxious.If you have tried the treatments mentioned above and have significant symptoms of General Anxiety Disorder, you may want to discuss with your GP whether you should be referred to a mental health specialist."
6,None,frequent bowels,abdomen pain,None,bloating,None,None,None,None,None,None,nausea,None,None,None,None,Diarrhoea,"Usually diarrhoea will clear up on its own in a day or two, but a prolonged case may cause complications. The most important concern is dehydration. If you have symptoms of dehydration, a fever above 102° F, bloody stools (black and tarry), severe abdomen or rectum pain, or diarrhea lasting more than 3 days you should consult a physician. Avoid foods that are milk-based, greasy, high-fiber, or very sweet because these are likely to aggravate diarrhea.Avoid caffeine and alcohol. Avoid high sugar drinks, like apple juice, grape juice, and soda, which can pull water into the intestine and make the diarrhea persist. Don’t drink clear liquids exclusively for more than 24 hours.Begin eating normal meals within 12 hours, but stick to food that is bland and won’t irritate your intestine. Try Having BRAT diet, banana, rice, apple and toast."
7,None,one side headache,None,None,None,None,None,None,None,vomiting,None,nausea,None,None,None,None,Migrane Headaches,"Ice pack held over the eyes or forehead. Heating pad set on low or hot shower to relax tense neck and shoulder muscles. Sleep, or at least resting in a dark room. Taking breaks from stressful situations. Regular exercise to increase endorphin levels and relax muscles. Even if you already have a headache, exercising may relieve the pain. However, intense exercise may bring on a headache. "
8,feeling squeezing,headache,feeling pressure,None,None,None,None,None,None,None,None,None,None,None,None,None,Tension type Headache,"Ice pack held over the eyes or forehead. Heating pad set on low or hot shower to relax tense neck and shoulder muscles. Sleep, or at least resting in a dark room. Taking breaks from stressful situations. Regular exercise to increase endorphin levels and relax muscles. Even if you already have a headache, exercising may relieve the pain. However, intense exercise may bring on a headache. "
9,fever,None,loss of appetite,fatigue,None,None,None,sore throat,None,None,None,None,None,muscle ache,None,None,Mononucleosis,"Mono is a virus, so antibiotics won’t help. Make sure you get plenty of rest, eat healthy foods, avoid alcohol (because your liver may be inflamed and drinking weakens immune responses), drink plenty of fluids, take aspirin or an aspirin substitute to reduce pain and fever, gargle salt water to relieve sore throat, and avoid strenuous activity. Because your spleen may be swollen, it is important not to engage in contact sports which could rupture your spleen. Returning to normal activity too quickly increases your chances of relapse."
10,cramps,jabbing pains,flatulence,temporary pain,bloating,intestinal gas,None,None,None,None,None,None,None,None,None,None,Intestinal Gas,"Reliever inhalers – usually blue – are taken to relieve asthma symptoms quickly.Preventer inhalers – usually brown, red or orange – work over time to reduce the amount of inflammation and sensitivity of the airways, and reduce the chances of asthma attacks occurring."
11,None,hit on head,stomach ulcers,motion sickness,eating too much,None,None,None,None,vomiting,None,None,None,None,None,None,Nausea,"Wait 30-60 minutes after vomiting before drinking anything to let your stomach settle. Don’t eat solid foods. Don’t drink milk. Drink clear liquids, taking small sips. Stir any carbonated beverages to get all the bubbles out before sipping them. Suck on ice chips if nothing else will stay down.Gradually return to regular diet, but wait about 8 hours from the last time you vomited. Start with foods like dry toast, crackers, rice, and other foods that are easy to digest. Avoid substances that irritate the stomach, like alcohol, aspirin, and fried foods. Avoid diuretics, like caffeine and alcohol, that contribute to fluid loss."
12,None,"feeling drowsy, exhausted or dizzy",tight chest,None,breathing faster,None,None,lips or fingers turning blue,cough,None,None,rapid heartbeat,wheezing,None,shortness of breath,None,Asthma,"Reliever inhalers – usually blue – are taken to relieve asthma symptoms quickly.Preventer inhalers – usually brown, red or orange – work over time to reduce the amount of inflammation and sensitivity of the airways, and reduce the chances of asthma attacks occurring.If your asthma is still not under control, you may be prescribed regular steroid tablets. This treatment is usually monitored by a respiratory specialist."
13,None,headache,None,vision problem,speech problem,seizures,mental change,behavioural change,None,vomiting,drowsiness,nausea,None,None,None,None,Brain Tumour,"The main treatment for most brain tumours is surgery, which aims to remove as much of the abnormal tissue as possible.For most benign tumours, treatment is often successful and a full recovery is possible, although there's sometimes a small chance the tumour could come back. Regular follow-up appointments will normally be recommended to monitor this."
14,None,None,chest pain,fatigue,None,clubbed fingertip,None,None,cough,None,None,None,wheezing,None,shortness of breath,None,Asbestosis,"There is no cure for asbestosis once it has developed, because it is not possible to reverse the damage to the lungs.One of the most important things someone with the condition can do is to stop smoking, if they smoke. This is because the symptoms are more likely to get worse in people who smoke, and smoking also increases the risk of lung cancer in people with asbestosis.If necessary, treatments such as oxygen therapy can improve the quality of life of someone with asbestosis."
15,fever,headache,chest pain,None,None,chills,difficulty breathing,,cough,feeling confused and disorientated,None,rapid heartbeat,wheezing,muscle ache,None,None,Chest infection,"While you recover at home, you can improve your symptoms by getting plenty of rest, drinking lots of fluid to prevent dehydration,treating headaches, fever and aches and pains with painkillers – such as paracetamol or ibuprofen,raising your head up with extra pillows while you're sleeping – to make breathing easier,using an air humidifier or inhaling steam from a bowl of hot water – to ease your cough,stopping smoking.If still symptoms are severe then go to a doctor."
16,few stools,hard stools,straining to have bowel movements,None,None,None,None,None,None,None,None,None,None,None,None,None,Constipation,"Drink more Water, eat more fibre, drink caffeinated coffee, Eat prunes, Try avoiding dairy"
17,tingling around mouth,itching around mouth,burning sensaion around mouth,blisters on lips,blisters around mouth,None,None,None,None,None,None,None,None,None,None,None,Cold Sore,"Cold sores usually clear up themselves within 7 to 10 days, try applying anti viral creams for col sores. For maximum effectivieness apply treatment as soon as the first sign appears."
18,None,None,strong smelled urine,dark color urine,passing less urine,None,tiredness,dry mouth,None,None,None,None,None,None,None,None,Dehydration,"Drink plenty of fluids such as water or fruit juice. If difficult to drink water due to vomiting, then try drinking small amounts more frequently.Left untreated can be caused serious health issue including brain damage or death."
19,None,lightheaded,None,None,dizziness,None,None,None,None,None,None,None,None,None,None,None,Dizziness,"This can be caused dut to dehydration, so make sure to drink plenty of water, stress or anxiety can also be the cause of this, for diabetes patients low  blood sugar can cause dizziness."
20,high temperature,burning ear pain,dull ear pain,ear pain,sharp ear pain,None,None,sore throat,None,vomiting,None,None,None,None,None,None,Earache,Earache are generally cause by minor infection and gets better within few days. Painkillers recommended by doctors such as paracetamol or certain ear drops is adviced. Placing warm flannel against the affected ear may help relieve some pain.
